team,region,Conference
alabama_crimson_tide,North,Southeastern
alabama_state_lady_hornets,North,Southwestern Athletic
arkansas_razorbacks,North,Southeastern
belmont_bruins,North,Ohio Valley
charleston_cougars,North,Colonial Athletic
charlotte_49ers,North,Conference USA
davidson_wildcats,North,Atlantic 10
elon_phoenix,North,Colonial Athletic
florida_gators,North,Southeastern
florida_gulf_coast_eagles,North,Atlantic Sun
florida_state_seminoles,North,Atlantic Coast
freed_hardeman_lions,North,Mid South
furman_paladins,North,Southern
gardner_webb_runnin_bulldogs,North,Big South
georgia_lady_bulldogs,North,Southeastern
georgia_southern_eagles,North,Sun Belt
georgia_tech_yellow_jackets,North,Atlantic Coast
high_point_panthers,North,Big South
houston_christian_huskies,North,Southland
houston_cougars,North,Big 12
jackson_state_lady_tigers,North,Southwestern Athletic
jacksonville_dolphins,North,Atlantic Sun
jacksonville_state_gamecocks,North,Atlantic Sun
little_rock_trojans,North,Sun Belt
louisiana_ragin_cajuns,North,Sun Belt
louisiana_tech_lady_techsters,North,Conference USA
lsu_tigers,North,Southeastern
memphis_tigers,North,American Athletic Conference
mercer_bears,North,Southern
miami_hurricanes,North,Atlantic Coast
middle_tennessee_blue_raiders,North,Conference USA
ole_miss_rebels,North,Southeastern
oral_roberts_golden_eagles,North,Summit League
rice_owls,North,American Athletic Conference
se_louisiana_lady_lions,North,Southland
south_carolina_gamecocks,North,Southeastern
south_carolina_upstate_spartans,North,Big South
south_florida_bulls,North,American Athletic Conference
southern_miss_lady_eagles,North,Conference USA
stephen_f_austin_ladyjacks,North,Western Athletic
stetson_hatters,North,Atlantic Sun
tennessee_lady_volunteers,North,Southeastern
tennessee_tech_golden_eagles,North,Ohio Valley
troy_trojans,North,Sun Belt
tulane_green_wave,North,American Athletic Conference
tulsa_golden_hurricane,North,American Athletic Conference
ucf_knights,North,American Athletic Conference
wofford_terriers,North,Southern
akron_zips,South,Mid-American
app_state_mountaineers,South,Sun Belt
austin_peay_governors,South,Ohio Valley
ball_state_cardinals,South,Mid-American
cleveland_state_vikings,South,Horizon
coker_cobras,South,South Atlantic Conference
dayton_flyers,South,Atlantic 10
depaul_blue_demons,South,Big East
drake_bulldogs,South,Missouri Valley
