team,region,conference,agg_rating_1,agg_rating_2,colley_rating,offensive_rating,defensive_rating
alabama_crimson_tide,North,Southeastern,0.64981799,0.3278596914,0.47523906,0.5561776941,0.6787
alabama_state_lady_hornets,North,Southwestern Athletic,0.6846598856,0.0001,0.05752414451,0.4500815341,0.8851
arkansas_razorbacks,North,Southeastern,0.633950464,0.4178862032,0.560368073,0.5800068711,0.6147
belmont_bruins,North,Ohio Valley,0.5138912442,0.638961878,0.5116466925,0.5701128998,0.3726
charleston_cougars,North,Colonial Athletic,0.6015011508,0.4089813246,0.306380761,0.5489515713,0.5851
charlotte_49ers,North,Conference USA,0.5801313191,0.355944368,0.5358667169,0.5089996686,0.5902
davidson_wildcats,North,Atlantic 10,0.6272745994,0.2201831616,0.4621350099,0.4926489621,0.71
elon_phoenix,North,Colonial Athletic,0.5869765483,0.1480929317,0.2874434644,0.4288530173,0.7055
florida_gators,North,Southeastern,0.6623775729,0.3050961704,0.6845650802,0.5573630022,0.7036
florida_gulf_coast_eagles,North,Atlantic Sun,0.3419901008,0.7152721602,0.6615897083,0.4566422437,0.15
florida_state_seminoles,North,Atlantic Coast,0.7716312502,0.3563888323,0.3759916129,0.6707325964,0.7927
freed_hardeman_lions,North,Mid South,1,0.5845143757,0.4566511689,0.957686458,0.9165
furman_paladins,North,Southern,0.6050239117,0.3147647693,0.1265415546,0.5129762866,0.6375
gardner_webb_runnin_bulldogs,North,Big South,0.6861935912,0.1697504335,0.1642170783,0.5215051813,0.7987
georgia_lady_bulldogs,North,Southeastern,0.8223127598,0.6167554305,0.6272140745,0.8211173912,0.7117
georgia_southern_eagles,North,Sun Belt,0.681551881,0.4672179197,0.28245135,0.6405560532,0.6391
georgia_tech_yellow_jackets,North,Atlantic Coast,0.5023413435,0.4972441101,0.3705804447,0.5017863569,0.4342
high_point_panthers,North,Big South,0.3675420566,0.294703204,0.01,0.3043437581,0.3965
houston_christian_huskies,North,Southland,0.4253734613,0.1616858403,0.03757494295,0.2981437901,0.526
houston_cougars,North,Big 12,0.5544878591,0.2111414505,0.4256882454,0.4275084759,0.6378
jackson_state_lady_tigers,North,Southwestern Athletic,0.9080035429,0.8059782943,0.3786765503,0.9716267035,0.7039
jacksonville_dolphins,North,Atlantic Sun,0.533204624,0.146188959,0.1320368925,0.3827040019,0.649
jacksonville_state_gamecocks,North,Atlantic Sun,0.5709690152,0.4666970835,0.2202991168,0.5470531296,0.5228
little_rock_trojans,North,Sun Belt,0.6311416164,0.2829129597,0.3372286676,0.5218423141,0.6817
louisiana_ragin_cajuns,North,Sun Belt,0.7821461407,0.5419519419,0.3916402854,0.7563107198,0.7077
louisiana_tech_lady_techsters,North,Conference USA,0.8590503104,0.479090194,0.2506200139,0.7952013341,0.8212
lsu_tigers,North,Southeastern,0.957762889,0.773069821,0.6712014195,1,0.7732
memphis_tigers,North,American Athletic Conference,0.6990241443,0.1996628153,0.2615848734,0.5446941569,0.7965
mercer_bears,North,Southern,0.8159490532,0.6366074093,0.4840337388,0.8239553509,0.6947
miami_hurricanes,North,Atlantic Coast,0.5185801647,0.2266317816,0.6015593232,0.4036201395,0.5923
middle_tennessee_blue_raiders,North,Conference USA,0.378375801,0.4915182608,0.527452389,0.3948421776,0.3058
ole_miss_rebels,North,Southeastern,0.7776800422,0.5974235203,0.7247597481,0.7754738717,0.6738
oral_roberts_golden_eagles,North,Summit League,0.6974261509,0.1653264293,0.2139254034,0.5291521725,0.8136
rice_owls,North,American Athletic Conference,0.6480217261,0.2110209273,0.1583088795,0.5063637531,0.7368
se_louisiana_lady_lions,North,Southland,0.5984790757,0.4149213271,0.1421222708,0.5488576193,0.5791
south_carolina_gamecocks,North,Southeastern,0.7109310004,1,0.6167091971,0.885580827,0.3942
south_carolina_upstate_spartans,North,Big South,0.714858664,0.4897346574,0.1976633055,0.677961562,0.6638
south_florida_bulls,North,American Athletic Conference,0.5271464133,0.4273253473,0.6454645621,0.493808993,0.4963
southern_miss_lady_eagles,North,Conference USA,0.9184597129,0.3071172045,0.1342941064,0.7742291522,0.9741
stephen_f_austin_ladyjacks,North,Western Athletic,0.5377591243,0.7880430304,0.6712014195,0.6518747445,0.3211
stetson_hatters,North,Atlantic Sun,0.55010774,0.3819451847,0.3629661349,0.4944199745,0.5447
tennessee_lady_volunteers,North,Southeastern,0.7429373269,0.4782335757,0.6895704074,0.6968944023,0.6989
tennessee_tech_golden_eagles,North,Ohio Valley,0.7460123718,0.3467358689,0.3545926088,0.6451302043,0.7701
troy_trojans,North,Sun Belt,0.6718756014,0.5137240414,0.5209622776,0.6516177747,0.6051
tulane_green_wave,North,American Athletic Conference,0.7118702918,0.3465832307,0.5986620716,0.6162648743,0.7343
tulsa_golden_hurricane,North,American Athletic Conference,0.6413174334,0.331548749,0.3225303753,0.5505316075,0.667
ucf_knights,North,American Athletic Conference,0.6277191591,0.7415742606,0.8777107431,0.7085557786,0.4402
wofford_terriers,North,Southern,0.4216120496,0.2930864577,0.1166356924,0.349288835,0.4547
akron_zips,South,Mid-American,0.7503982509,0.1967979238,0.3107905395,0.58684903,0.8529
app_state_mountaineers,South,Sun Belt,0.4170983304,0.1474189396,0.2523880639,0.2852652683,0.525
